Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  13:15:00,-1.9250000000000003,2080.536760270814,1.0,210.73276284570657,1.0,210.73276284570657,2080.536760270814,11.94552130269596,7.490134306182325,11.070336013190115,0.27822948082712176,12.00914988728556 
 01/01  13:30:00,-1.6500000000000002,1848.1882299855229,1.0,189.38488290342594,1.0,189.38488290342594,1848.1882299855229,11.905114569856436,7.0887892427462619,10.85602400160758,0.4458848596481175,11.973519223612098 
 01/01  13:45:00,-1.375,1762.648528253172,1.0,179.3940297802914,1.0,179.3940297802914,1762.648528253172,11.888748241651572,7.2134707116008329,10.813639131160926,0.6958347078274301,11.942006145913532 
 01/01  14:00:00,-1.1,1676.1315823352277,1.0,169.43349014176136,1.0,169.43349014176136,1676.1315823352277,11.8683872722212,7.314565198939195,10.763815031943466,0.9442604310487468,11.914189852498968 
 01/01  14:15:00,-1.1,1764.2336451764168,1.0,178.15692317953907,1.0,178.15692317953907,1764.2336451764168,11.933753643438559,8.134126138466492,10.870803208017549,1.072685094933604,11.894756249161582 
 01/01  14:30:00,-1.1,1657.44905719483,1.0,166.40516310952945,1.0,166.40516310952945,1657.44905719483,11.875745577441594,7.773122749392764,10.75609650612563,1.0382776030974129,11.877735762321285 
 01/01  14:45:00,-1.1,1397.5312645024297,1.0,140.8967369711617,1.0,140.8967369711617,1397.5312645024297,11.731145471817018,6.560290549913954,10.430176275020927,0.8643665697849201,11.85193095943675 
 01/01  15:00:00,-1.1,1150.0543343484979,1.0,116.57355796743004,1.0,116.57355796743004,1150.0543343484979,11.620488060508338,5.366126713400709,10.098752912997952,0.682321671098066,11.80496902260101 
 01/01  15:15:00,-1.1,912.7487358563033,1.0,93.14939272689483,1.0,93.14939272689483,912.7487358563033,11.49832413674718,4.318006180914199,9.805746599131112,0.5886272291581349,11.737720592723628 
 01/01  15:30:00,-1.1,566.636069103818,1.0,57.94047897402063,1.0,57.94047897402063,566.636069103818,11.28273354224044,2.20009780602832,9.351020728789309,0.36716645301521569,11.644374070951443 
 01/01  15:45:00,-1.1,439.3280485110057,1.0,45.38251793443488,1.0,45.38251793443488,439.3280485110057,11.194168640278948,1.5965689443478837,9.141483790595658,0.3606850674467523,11.540172974317019 
 01/01  16:00:00,-1.1,306.6800834820858,1.0,32.02625108222755,1.0,32.02625108222755,306.6800834820858,11.065140360034232,0.7415744417857383,8.952360618264607,0.355210959593137,11.438135966802202 
 01/01  16:15:00,-1.1,168.21359625367695,1.0,17.762198626050539,1.0,17.762198626050539,168.21359625367695,10.912281302855114,-0.4984738361444973,8.71184150501847,0.2419712959571143,11.33626850512894 
 01/01  16:30:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,10.708512883967038,-2.3303988094751766,8.393475494901964,-0.0024255293133137458,11.22077659426245 
 01/01  16:45:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,10.642453262229811,-2.460862115577526,8.304670403399541,0.04298563531460786,11.107965042096862 
 01/01  17:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,10.55977950894785,-2.642529925949309,8.258831581744972,0.1028352697973105,11.012663042013069 
 01/01  17:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,10.48871313655019,-2.7915893259453519,8.16097531370383,-0.03812152502274557,10.934991233332913 
 01/01  17:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,10.42342927358841,-2.944093360221031,8.076511134084285,-0.17207939871497048,10.868943544261552 
 01/01  17:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,10.36238916839672,-3.096281008372774,7.996828395182433,-0.305147672297835,10.80880834701243 
 01/01  18:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,10.303225238851745,-3.2486355855932267,7.920018364507541,-0.4375709471760274,10.751234524126576 
 01/01  18:15:00,-1.825,0.0,0.0,0.0,0.0,0.0,0.0,10.26606981837293,-3.1157395839076909,7.820743413672972,-0.6477831534904226,10.6979180887872 
 01/01  18:30:00,-1.9500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,10.229419699847814,-3.0623452679046627,7.737648174870856,-0.8419854319554361,10.650819535391449 
 01/01  18:45:00,-2.075,0.0,0.0,0.0,0.0,0.0,0.0,10.18692755288063,-3.139873835963791,7.677388249545402,-0.9725098001430297,10.608598773782676 
 01/01  19:00:00,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,10.147968267717405,-3.1293256703851015,7.598508368560601,-1.1557209965551465,10.568175403556248 
 01/01  19:15:00,-1.9250000000000003,0.0,0.0,0.0,0.0,0.0,0.0,10.12561207662516,-2.831058513170249,7.626505285821054,-0.9614111042124023,10.530533012033679 
 01/01  19:30:00,-1.6500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,10.102648844717742,-2.5355410199205616,7.651829245307624,-0.7554225606212413,10.496320528334714 
 01/01  19:45:00,-1.375,0.0,0.0,0.0,0.0,0.0,0.0,10.081687116738504,-2.241128237588515,7.678545288123246,-0.5469720198072992,10.465034519730543 
 01/01  20:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,10.062355135678832,-1.9478621221864907,7.707437173132462,-0.33610660471299527,10.435880637703555 
 01/01  20:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,10.004948061225046,-2.217068892537807,7.671358621487684,-0.3742782903069042,10.40216965181462 
 01/01  20:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,9.948319946930337,-2.4272494910251014,7.614569252215119,-0.4517035219753325,10.359383838890335 
 01/01  20:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,9.879216791679287,-2.7556180526926385,7.571874271121715,-0.4731760510682079,10.307043158527338 
 01/01  21:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,9.804886113402182,-3.1890275090047299,7.529718104037499,-0.46118912412293869,10.24758433379953 
 01/01  21:15:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,9.793138143219558,-2.7231741881497477,7.472599216114816,-0.48894048372562795,10.193895881592632 
 01/01  21:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,9.772134788830656,-2.4076807082392,7.454081400110795,-0.48007827843264297,10.152838081353752 
 01/01  21:45:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,9.750927708574903,-2.1941585103029528,7.449621237798908,-0.4047650357360908,10.121923987592885 
 01/01  22:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,9.733498789863545,-1.923373208723885,7.438126976309491,-0.3621321110703093,10.09581985026674 
 01/01  22:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,9.675123626124466,-2.2265630636180608,7.341846957517248,-0.6414980748488688,10.0641543977241 
 01/01  22:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,9.618909133718905,-2.531300863910508,7.233520642691474,-0.9321963966004319,10.02222746187004 
 01/01  22:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,9.557767456362912,-2.836690809373997,7.123127490186448,-1.224222499194525,9.971574747935584 
 01/01  23:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,9.492743846119394,-3.14242542371365,7.008568606810741,-1.518032106308567,9.915333395434323 
 01/01  23:15:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,9.443091245624159,-3.196779148251136,6.949336665557439,-1.5853603608854883,9.85910861816376 
 01/01  23:30:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,9.391505832683452,-3.251642966998222,6.894414245969756,-1.6496145450125824,9.805707093761617 
 01/01  23:45:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,9.341167492178377,-3.3063999767478875,6.839354259536492,-1.714063051207006,9.754906347793219 
 01/01  24:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,9.291711272391297,-3.3611620670992146,6.785209121016919,-1.7785430514635437,9.705570490970138 
